,Year,Tonnes - live weight,Country,alpha-3
737,2011,15.0,"Korea, Dem. People's Rep",PRK
738,2011,12196.0,Ireland,IRL
739,2011,1083.0,Iceland,ISL
740,2011,0.0,Greece,GRC
741,2011,0.0,Finland,FIN
742,2011,60473.0,Faroe Islands,FRO
743,2011,10.0,Denmark,DNK
744,2011,264349.0,Chile,CHL
745,2011,110328.0,Canada,CAN
746,2011,36662.04,Australia,AUS
747,2012,19295.0,United States of America,USA
748,2012,162547.0,United Kingdom,GBR
749,2012,0.0,Türkiye,
750,2012,0.0,Sweden,SWE
751,2012,4.0,Spain,ESP
752,2012,8754.0,Russian Federation,RUS
753,2012,1232094.9,Norway,NOR
754,2012,15.0,"Korea, Dem. People's Rep",PRK
755,2012,12440.0,Ireland,IRL
756,2012,2923.0,Iceland,ISL
757,2012,0.0,Greece,GRC
758,2012,0.0,Finland,FIN
759,2012,76564.0,Faroe Islands,FRO
760,2012,0.2,Denmark,DNK
761,2012,399678.0,Chile,CHL
762,2012,116101.0,Canada,CAN
763,2012,43982.0,Australia,AUS
764,2013,18866.0,United States of America,USA
765,2013,163240.0,United Kingdom,GBR
766,2013,0.0,Türkiye,
767,2013,6.0,Sweden,SWE
768,2013,0.0,Spain,ESP
769,2013,22500.0,Russian Federation,RUS
770,2013,1168324.0,Norway,NOR
771,2013,15.0,"Korea, Dem. People's Rep",PRK
772,2013,9124.9,Ireland,IRL
773,2013,3018.0,Iceland,ISL
774,2013,0.0,Greece,GRC
775,2013,0.0,Finland,FIN
776,2013,75821.0,Faroe Islands,FRO
777,2013,10.0,Denmark,DNK
778,2013,492329.0,Chile,CHL
779,2013,97629.0,Canada,CAN
780,2013,42825.01,Australia,AUS
781,2014,18719.0,United States of America,USA
782,2014,179028.0,United Kingdom,GBR
783,2014,8.0,Sweden,SWE
784,2014,3.8,Spain,ESP
785,2014,18675.0,Russian Federation,RUS
786,2014,1258355.9,Norway,NOR
787,2014,20.0,"Korea, Dem. People's Rep",PRK
788,2014,9367.6,Ireland,IRL
789,2014,3965.0,Iceland,ISL
790,2014,0.0,Greece,GRC
791,2014,0.0,Finland,FIN
792,2014,86454.0,Faroe Islands,FRO
793,2014,405.0,Denmark,DNK
794,2014,644459.0,Chile,CHL
795,2014,86347.0,Canada,CAN
796,2014,41590.66,Australia,AUS
797,2015,18719.0,United States of America,USA
798,2015,171731.0,United Kingdom,GBR
799,2015,7.785,Spain,ESP
800,2015,10834.0,Russian Federation,RUS
801,2015,1303345.8,Norway,NOR
802,2015,20.0,"Korea, Dem. People's Rep",PRK
803,2015,13116.0,Ireland,IRL
804,2015,3260.0,Iceland,ISL
805,2015,0.0,Greece,GRC
806,2015,0.0,Finland,FIN
807,2015,80600.0,Faroe Islands,FRO
808,2015,428.0,Denmark,DNK
809,2015,608546.0,Chile,CHL
810,2015,121926.0,Canada,CAN
811,2015,48330.56,Australia,AUS
812,2016,16185.0,United States of America,USA
813,2016,162820.0,United Kingdom,GBR
814,2016,1.0,Sweden,SWE
815,2016,5.162,Spain,ESP
816,2016,12857.0,Russian Federation,RUS
817,2016,1233619.2,Norway,NOR
818,2016,20.0,"Korea, Dem. People's Rep",PRK
819,2016,16300.0,Ireland,IRL
820,2016,8420.0,Iceland,ISL
821,2016,0.0,Greece,GRC
822,2016,0.0,Finland,FIN
823,2016,83300.0,Faroe Islands,FRO
824,2016,1289.0,Denmark,DNK
825,2016,532225.0,Chile,CHL
826,2016,123522.0,Canada,CAN
827,2016,56115.197,Australia,AUS
828,2017,14685.0,United States of America,USA
829,2017,189707.0,United Kingdom,GBR
830,2017,24.39,Spain,ESP
831,2017,13016.0,Russian Federation,RUS
832,2017,1236353.0,Norway,NOR
833,2017,50.0,"Korea, Dem. People's Rep",PRK
834,2017,18342.0,Ireland,IRL
835,2017,11265.0,Iceland,ISL
836,2017,0.0,Greece,GRC
837,2017,0.0,Finland,FIN
838,2017,86800.0,Faroe Islands,FRO
839,2017,807.0,Denmark,DNK
840,2017,614180.46,Chile,CHL
841,2017,120553.0,Canada,CAN
842,2017,52580.2,Australia,AUS
843,2018,16107.0,United States of America,USA
844,2018,156025.0,United Kingdom,GBR
845,2018,100.0,Switzerland,CHE
846,2018,20566.0,Russian Federation,RUS
847,2018,1282003.2,Norway,NOR
848,2018,60.0,"Korea, Dem. People's Rep",PRK
849,2018,11984.0,Ireland,IRL
850,2018,13448.0,Iceland,ISL
851,2018,0.0,Finland,FIN
852,2018,78900.0,Faroe Islands,FRO
853,2018,1030.0,Denmark,DNK
854,2018,661138.39,Chile,CHL
855,2018,123184.0,Canada,CAN
856,2018,61227.0,Australia,AUS
857,2019,16490.52,United States of America,USA
858,2019,203881.0,United Kingdom,GBR
859,2019,159.4,Switzerland,CHE
860,2019,11.606,Spain,ESP
861,2019,32343.0,Russian Federation,RUS
862,2019,1364042.038,Norway,NOR
863,2019,60.0,"Korea, Dem. People's Rep",PRK
864,2019,11333.0,Ireland,IRL
865,2019,26957.0,Iceland,ISL
866,2019,0.0,Finland,FIN
867,2019,95000.0,Faroe Islands,FRO
868,2019,1462.53,Denmark,DNK
869,2019,701984.0,Chile,CHL
870,2019,118630.0,Canada,CAN
871,2019,56989.34,Australia,AUS
872,2020,16490.52,United States of America,USA
873,2020,192129.0,United Kingdom,GBR
874,2020,300.0,United Arab Emirates,ARE
875,2020,159.4,Switzerland,CHE
876,2020,10855.0,Russian Federation,RUS
877,2020,1388433.84,Norway,NOR
878,2020,60.0,"Korea, Dem. People's Rep",PRK
879,2020,12870.0,Ireland,IRL
880,2020,34341.0,Iceland,ISL
881,2020,88950.0,Faroe Islands,FRO
882,2020,1940.0,Denmark,DNK
883,2020,787131.0,Chile,CHL
884,2020,120427.0,Canada,CAN
885,2020,66918.495,Australia,AUS
886,2021,16490.52,United States of America,USA
887,2021,205000.0,United Kingdom,GBR
888,2021,180.0,United Arab Emirates,ARE
889,2021,160.0,Switzerland,CHE
890,2021,14959.0,Russian Federation,RUS
891,2021,1562415.01,Norway,NOR
892,2021,60.0,"Korea, Dem. People's Rep",PRK
893,2021,12844.0,Ireland,IRL
894,2021,46458.0,Iceland,ISL
895,2021,115650.0,Faroe Islands,FRO
896,2021,1668.0,Denmark,DNK
897,2021,725280.0,Chile,CHL
898,2021,120186.0,Canada,CAN
899,2021,84045.234,Australia,AUS
